job_id,skill,country
5553062391,excel,gb
5553062391,sql,gb
5777966201,sql,gb
5750847675,azure,gb
5747977435,excel,gb
5747977435,sql,gb
5748978694,power bi,gb
5521735219,sql,gb
5571411821,sql,gb
5636025977,sql,gb
5764582249,excel,gb
5742897913,sql,gb
5772714383,snowflake,gb
5772714383,tableau,gb
5772714383,python,gb
5772714383,sql,gb
5758549605,python,gb
5777756730,azure,gb
5745455064,power bi,gb
5756272953,sql,gb
5774788383,azure,gb
5774788383,dax,gb
5774788383,power bi,gb
5774788383,sql,gb
5764424136,power bi,gb
5764424136,sql,gb
5764367858,power bi,gb
5764367858,sql,gb
5210479736,azure,gb
5210484991,r,gb
5777758750,sql,gb
5210480007,r,gb
5785249020,dax,gb
5785249020,power bi,gb
5785249020,sql,gb
5210483361,gcp,gb
5760103629,power bi,gb
5760103768,power bi,gb
5785352583,aws,gb
5783864243,python,gb
5783864243,sql,gb
5210487489,tableau,gb
5210487489,python,gb
5785363084,power bi,gb
5210483243,azure,gb
5510354959,aws,gb
5510354959,python,gb
5510354959,sql,gb
5730442864,aws,gb
5767003916,azure,gb
5767003916,python,gb
5767003916,sql,gb
5785247195,azure,gb
5785247195,aws,gb
5785247195,snowflake,gb
5785247195,sql,gb
5772716216,sql,gb
5773684220,azure,gb
5783307075,python,gb
5668750345,azure,gb
5210483438,python,gb
5210483438,sql,gb
5724589767,sql,gb
5746369545,azure,gb
5769610449,sql,gb
5773794849,azure,gb
5773793965,azure,gb
5210480069,python,gb
5781436063,excel,gb
5766931986,azure,gb
5783725012,azure,gb
5756447114,sql,gb
5764491890,azure,gb
5783307544,gcp,gb
5783308417,gcp,gb
5771796454,snowflake,gb
5771796454,power bi,gb
5771796454,sql,gb
4802528360,gcp,gb
5672153849,azure,gb
5672153849,power bi,gb
5783903479,power bi,gb
5775504298,azure,gb
5760138820,python,gb
5781188001,python,gb
5754934686,english,gb
5210480709,gcp,gb
5210480709,python,gb
5210483730,azure,gb
5782254390,r,gb
5753409141,excel,gb
5753409141,sql,gb
5781360206,power bi,gb
5783907337,power bi,gb
5778082947,snowflake,gb
5778082947,tableau,gb
5778082947,power bi,gb
5778082947,sql,gb
5777756766,snowflake,gb
5777756766,tableau,gb
5777756766,power bi,gb
5777756766,sql,gb
5744723183,power bi,gb
5781464149,snowflake,gb
5781464149,power bi,gb
5781464149,sql,gb
5785245995,excel,gb
5785245995,power bi,gb
5766912788,power bi,gb
5768358523,power bi,gb
5766867135,sql,gb
5785246028,gcp,gb
5785246028,azure,gb
5785246028,aws,gb
5785246028,snowflake,gb
5785246028,sql,gb
4812580955,gcp,gb
4802576161,gcp,gb
4802596041,gcp,gb
4802596489,gcp,gb
4812559178,gcp,gb
4812556803,gcp,gb
5774157228,excel,gb
5772627886,power bi,gb
5772806568,power bi,gb
5785359517,power bi,gb
5785247426,excel,gb
5785247426,sql,gb
5785249977,excel,gb
5785249977,tableau,gb
5785249977,power bi,gb
5785249977,python,gb
5785249977,sql,gb
5785249306,dax,gb
5785249306,power bi,gb
5785249306,sql,gb
5755551290,azure,gb
5755551290,power bi,gb
5755551290,sql,gb
5783138595,power bi,gb
5785248651,azure,gb
5785248651,power bi,gb
5785248651,python,gb
5785248651,sql,gb
5726482301,excel,gb
5726482301,power bi,gb
5785247817,tableau,gb
5785247817,power bi,gb
5785247817,sql,gb
5785249899,snowflake,gb
5785249899,power bi,gb
5785249899,python,gb
5785249899,sql,gb
5744493450,tableau,gb
5777321301,power bi,gb
5777321301,sql,gb
5785335102,power bi,gb
5785335102,sql,gb
5782683666,excel,gb
5329642758,sql,gb
5758688550,power bi,gb
5758688550,sql,gb
5765440112,power bi,gb
5765544113,power bi,gb
5784962516,power bi,gb
5784962516,sql,gb
5785246235,excel,gb
5785246235,tableau,gb
5785246235,python,gb
5785246235,sql,gb
5768062822,excel,gb
5768062822,python,gb
5768062822,sql,gb
5363407287,sql,gb
5785249562,power bi,gb
5785249338,azure,gb
5785249338,snowflake,gb
5785249338,tableau,gb
5785249338,python,gb
5785249338,sql,gb
5785859299,looker,gb
5785246948,power bi,gb
5785246948,sql,gb
5744489089,excel,gb
5744143511,excel,gb
5759898301,sas,gb
5785250025,azure,gb
5785250025,power bi,gb
5785250025,sql,gb
5785249991,excel,gb
5785249991,power bi,gb
5785249250,r,gb
5785249250,tableau,gb
5785249250,python,gb
5785249250,sql,gb
5786061867,excel,gb
5783902238,power bi,gb
5768350903,powerpoint,gb
5768350903,excel,gb
5785247554,english,gb
5785247554,excel,gb
5785249935,excel,gb
5785249935,power bi,gb
5785250012,python,gb
5785250012,sql,gb
5774198268,excel,gb
5764585769,power bi,gb
5758425740,excel,gb
5758425740,power bi,gb
5758425740,sql,gb
5758567438,excel,gb
5758567438,power bi,gb
5758567438,sql,gb
5758693984,excel,gb
5758693984,power bi,gb
5758693984,sql,gb
5670435548,snowflake,gb
5670435548,excel,gb
5670435548,tableau,gb
5670435548,python,gb
5670435548,sql,gb
5693221074,excel,gb
5693221074,tableau,gb
5693221074,power bi,gb
5766887177,sas,gb
5766887177,excel,gb
5689268227,tableau,gb
5210480343,sas,gb
5210480343,python,gb
5210480343,sql,gb
5784009784,sql,it
5785717442,italian,it
5785717556,italian,it
5785717472,italian,it
5760756064,english,it
5766993643,italian,it
5784009992,azure,it
5784009992,power bi,it
5784009992,sql,it
5784009853,azure,it
5784009853,power bi,it
5784009853,sql,it
5778405024,azure,it
5778405024,power bi,it
5778405024,sql,it
5741734840,sas,it
5741734840,sql,it
5517805221,gcp,it
5785456554,power bi,it
5785457449,power bi,it
5522716746,qlik,it
5234723878,excel,it
5706576056,excel,it
5706576056,power bi,it
5775815413,power bi,it
5762130621,gcp,it
5762130621,bigquery,it
5762138338,sql,it
5762137270,sql,it
5762158750,english,nl
5781241712,azure,nl
5781675660,azure,nl
5782853516,azure,nl
5773122366,azure,nl
5784089721,azure,nl
5784089721,python,nl
5769935949,power bi,nl
5784737483,python,nl
5781672765,azure,nl
5777174690,python,nl
